,Country,Libertad Economica
0,Albania,7.6
1,Algeria,4.82
2,Angola,5.38
3,Argentina,4.77
4,Armenia,7.58
5,Australia,8.05
6,Austria,7.69
7,Azerbaijan,5.99
8,"Bahamas, The",6.55
9,Bahrain,7.44
10,Bangladesh,5.81
11,Barbados,6.94
12,Belarus,6.23
13,Belgium,7.43
14,Belize,5.91
15,Benin,6.41
16,Bhutan,6.62
17,Bolivia,6.08
18,Bosnia and Herzegovina,6.66
19,Botswana,6.84
20,Brazil,6.58
21,Brunei Darussalam,7.12
22,Bulgaria,7.46
23,Burkina Faso,6.14
24,Burundi,5.4
25,Cabo Verde,7.38
26,Cambodia,6.82
27,Cameroon,5.72
28,Canada,7.98
29,Central African Republic,5.01
30,Chad,5.31
31,Chile,7.66
32,China,6.18
33,Colombia,6.6
34,Comoros,5.63
35,"Congo, Dem. Rep.",5.33
36,"Congo, Rep.",4.85
37,Costa Rica,7.76
38,Côte d'Ivoire,6.04
39,Croatia,7.25
40,Cyprus,7.57
41,Czechia,7.81
42,Denmark,8.1
43,Djibouti,5.79
44,Dominican Republic,7.3
45,Ecuador,6.46
46,"Egypt, Arab Rep.",5.47
47,El Salvador,7.11
48,Estonia,7.95
49,Eswatini,5.33
50,Ethiopia,5.44
51,Fiji,6.32
52,Finland,7.81
53,France,7.4
54,Gabon,5.41
55,"Gambia, The",7.11
56,Georgia,7.71
57,Germany,7.73
58,Ghana,6.41
59,Greece,6.94
60,Guatemala,7.5
61,Guinea,5.62
62,Guinea-Bissau,5.53
63,Guyana,5.43
64,Haiti,6.15
65,Honduras,6.97
66,"Hong Kong SAR, China",8.55
67,Hungary,7.36
68,Iceland,7.93
69,India,6.62
70,Indonesia,6.93
71,"Iran, Islamic Rep.",4.53
72,Iraq,5.49
73,Ireland,8.11
74,Israel,7.57
75,Italy,7.25
76,Jamaica,7.46
77,Japan,7.79
78,Jordan,7.3
79,Kazakhstan,7.13
80,Kenya,6.82
81,"Korea, Rep.",7.47
82,Kuwait,6.63
83,Kyrgyz Republic,6.88
84,Lao PDR,6.24
85,Latvia,7.71
86,Lebanon,5.15
87,Lesotho,5.95
88,Liberia,5.82
89,Libya,4.65
90,Lithuania,7.95
91,Luxembourg,7.91
92,Madagascar,5.92
93,Malawi,5.87
94,Malaysia,7.19
95,Mali,5.8
96,Malta,7.73
97,Mauritania,5.78
98,Mauritius,7.82
99,Mexico,7.02
100,Moldova,7.18
101,Mongolia,7.04
102,Montenegro,7.59
103,Morocco,6.42
104,Mozambique,6.03
105,Myanmar,5.33
106,Namibia,6.16
107,Nepal,6.3
108,Netherlands,7.76
109,New Zealand,8.43
110,Nicaragua,6.52
111,Niger,5.8
112,Nigeria,6.67
113,North Macedonia,7.06
114,Norway,7.67
115,Oman,6.58
116,Pakistan,5.98
117,Panama,7.51
118,Papua New Guinea,6.05
119,Paraguay,7.02
120,Peru,7.52
121,Philippines,7.01
122,Poland,7.12
123,Portugal,7.54
124,Qatar,6.58
125,Romania,7.7
126,Russian Federation,6.28
127,Rwanda,6.77
128,Saudi Arabia,6.64
129,Senegal,6.2
130,Serbia,6.85
131,Seychelles,7.12
132,Sierra Leone,5.91
133,Singapore,8.56
134,Slovak Republic,7.49
135,Slovenia,7.23
136,Somalia,5.66
137,South Africa,6.53
138,Spain,7.52
139,Sri Lanka,6.13
140,Sudan,3.98
141,Suriname,5.52
142,Sweden,7.81
143,Switzerland,8.47
144,Syrian Arab Republic,3.9
145,Taiwan,7.97
146,Tajikistan,6.38
147,Tanzania,6.27
148,Thailand,7.07
149,Timor-Leste,5.82
150,Togo,6.24
151,Trinidad and Tobago,6.63
152,Tunisia,6.02
153,Türkiye,6.32
154,Uganda,6.64
155,Ukraine,6.17
156,United Arab Emirates,7.35
157,United Kingdom,8.01
158,United States,8.14
159,Uruguay,7.06
160,"Venezuela, RB",3.01
161,Vietnam,6.26
162,"Yemen, Rep.",4.18
163,Zambia,5.84
164,Zimbabwe,3.81
