,Country,Temperatura media superficie (2021)
120,Dominican Republic,24.75
242,United States,10.01
364,Zambia,22.11
486,Vanuatu,24.66
608,Tonga,25.16
730,Ghana,28.3
852,Maldives,28.14
974,Uruguay,18.06
1096,Fiji,25.03
1218,Solomon Islands,25.89
1340,Georgia,10.05
1462,Senegal,29.62
1584,Gambia,29.03
1706,Nauru,28.11
1828,Trinidad And Tobago,26.58
1950,Bangladesh,25.7
2072,Bahrain,29.18
2194,Malta,20.22
2316,Uzbekistan,14.76
2438,Kenya,25.25
2560,Chad,27.7
2682,Libya,23.05
2804,Estonia,6.3
2926,Liberia,25.87
3048,Nicaragua,26.09
3170,Russian Federation,-3.65
3292,Tanzania,23.0
3414,South Sudan,27.9
3536,Canada,-3.7
3658,Poland,8.75
3780,Mexico,21.85
3902,Sweden,3.08
4024,Belgium,10.48
4146,Liechtenstein,7.44
4268,Thailand,26.9
4390,Korea-,13.14
4512,Guatemala,24.08
4634,Cambodia,27.44
4756,Vietnam,25.04
4878,Finland,2.34
5000,Benin,28.7
5122,Palau,27.58
5244,Lesotho,12.28
5366,Jamaica,26.07
5488,Zimbabwe,21.87
5610,Mali,29.78
5732,Jordan,20.36
5854,Austria,7.41
5976,Barbados,26.63
6098,South Africa,18.06
6220,Haiti,25.15
6342,Togo,28.04
6464,Hungary,11.58
6586,Iraq,24.21
6708,Rwanda,19.21
6830,Turkey,12.61
6952,Romania,10.35
7074,"Yemen, Rep.",25.64
7196,Madagascar,22.87
7318,Bolivia,20.8
7440,Germany,9.49
7562,Chile,9.81
7684,Kiribati,27.89
7806,Timor Leste,24.9
7928,Sudan,28.17
8050,Honduras,25.03
8172,Oman,28.1
8294,Grenada,26.49
8416,Suriname,26.56
8538,Belarus,7.33
8660,Comoros,23.92
8782,Monaco,13.62
8904,Syrian Arab Republic,19.67
9026,Ethiopia,23.41
9148,Bulgaria,11.97
9270,Mongolia,2.08
9392,Brazil,25.57
9514,Uganda,23.22
9636,Djibouti,28.52
9758,France,11.58
9880,Qatar,29.42
10002,Serbia,11.7
10124,Gabon,25.66
10246,Kuwait,27.89
10368,Japan,12.45
10490,Nepal,14.29
10612,Iceland,2.43
10734,Malawi,22.8
10856,Afghanistan,14.28
10978,Turkmenistan,17.69
11100,Eritrea,26.88
11222,Samoa,27.54
11344,Paraguay,24.01
11466,Andorra,8.38
11588,Cuba,26.06
11710,United Kingdom,9.39
11832,Malaysia,26.47
11954,New Zealand,11.18
12076,Lebanon,16.2
12198,Tajikistan,4.61
12320,Algeria,23.92
12442,Somalia,26.93
12564,Kazakhstan,7.83
12686,"Gambia,",29.03
12808,Philippines,26.7
12930,Azerbaijan,13.9
13052,Botswana,21.74
13174,Sierra Leone,27.19
13296,Netherlands,10.41
13418,Dominica,26.9
13540,Colombia,24.97
13662,Guyana,26.15
13784,Mauritius,23.7
13906,Saudi Arabia,26.8
14028,Tuvalu,28.61
14150,United Arab Emirates,29.09
14272,Nigeria,27.67
14394,Burundi,20.51
14516,Panama,25.59
14638,"Venezuela, Rb",25.61
14760,Ukraine,9.37
14882,Portugal,16.1
15004,Belize,26.15
15126,Slovenia,10.0
15248,Guinea Bissau,28.68
15370,Luxembourg,9.77
15492,Norway,2.11
15614,Montenegro,10.25
15736,Peru,19.79
15858,Pakistan,22.03
15980,Cameroon,25.2
16102,Papua New Guinea,24.79
16224,"Korea, Rep.",13.14
16346,Moldova,10.95
16468,Armenia,8.81
16590,Singapore,27.75
16712,Spain,14.31
16834,Mozambique,24.53
16956,Seychelles,27.26
17078,Guinea,26.6
17200,Bhutan,10.73
17322,Cyprus,19.87
17444,Latvia,6.82
17566,Tunisia,21.33
17688,Australia,22.05
17810,Denmark,8.96
17932,Argentina,15.4
18054,Ecuador,21.42
18176,Indonesia,26.01
18298,Sri Lanka,27.4
18420,Albania,12.89
18542,Mauritania,29.3
18664,"Bahamas,",25.87
18786,Myanmar,24.11
18908,Egypt,23.88
19030,"Iran, Islamic Rep.",19.57
19152,Greece,15.09
19274,Israel,20.86
19396,"Congo, Dem. Rep.",24.46
19518,Niger,28.09
19640,Central African Republic,25.78
19762,Italy,13.52
19884,Slovak Republic,8.79
20006,Costa Rica,24.89
20128,Eswatini,20.52
20250,Cote d'Ivoire,27.37
20372,Kyrgyz Republic,3.36
20494,Croatia,12.19
20616,Angola,21.74
20738,Switzerland,6.39
