,Country,Valores reales
0,Finland,1.0
1,Denmark,0.9368780210406598
2,Switzerland,0.9229456923514359
3,Iceland,0.9181120272959911
5,Norway,0.872050042649986
6,Sweden,0.863804378731874
7,Luxembourg,0.8527153824282059
8,New Zealand,0.8393517202160934
9,Austria,0.836792721069093
10,Australia,0.8126243957918681
11,Israel,0.8052317315894228
12,Germany,0.8046630651123118
13,Canada,0.7898777367074211
19,Belgium,0.7133920955359682
20,France,0.6724481091839638
26,Spain,0.6158657947114017
27,Italy,0.613591128802957
28,Slovenia,0.6073357975547343
34,Brazil,0.5700881433039523
35,Mexico,0.5663918112027296
39,Estonia,0.5299971566676145
42,Chile,0.5251634916121695
43,Poland,0.523457492180836
44,Kazakhstan,0.5194768268410578
45,Romania,0.5160648279783906
50,Latvia,0.4853568382143873
51,Colombia,0.4796701734432754
52,Hungary,0.4739835086721638
53,Thailand,0.4719931760022748
55,Japan,0.4591981802672734
56,Argentina,0.4560705146431619
57,Portugal,0.4560705146431619
59,Croatia,0.4427068524310491
60,Philippines,0.442138185953938
62,Peru,0.4307648564117145
65,Ecuador,0.40915553028149
67,Greece,0.3974978675007108
74,Belarus,0.3437588854137048
80,Malaysia,0.30110889963036686
81,Indonesia,0.2900199033266988
87,Bulgaria,0.2675575774808075
89,Azerbaijan,0.24054591981802678
100,Bangladesh,0.19903326698891108
102,South Africa,0.17941427352857559
104,Pakistan,0.17315894228035258
108,Algeria,0.15979528006823981
109,Ukraine,0.1563832812055729
110,Iraq,0.1504122831959056
128,Sri Lanka,0.0
